EAN,Sales Price,Qty at Store,Qty at DC,in assortment
7791528000025,211,9,582,1
7500435013024,146,22,684,1
7793940651854,25.6,0,0,1
4005800044038,42,7,320,1
7798159713652,24,33,0,1
7797394001272,27,57,0,1
42269847,84,15,168,1
7798099382192,35,0,0,1
7312040551231,489.8,0,0,0
7891150039148,59,13,552,1
7795697612133,23.5,24,1296,1
7898587774888,96,9,468,1
7792129002692,47.9,6,0,1
7509552910506,109,16,18,1
7794000761162,0,0,60,1
7791203000715,0,0,0,1
7793680000561,0,0,12,1
7790240002027,170.93,8,6,1
7791519702013,140,12,0,1
7798159714932,15.51,14,10650,1
7790174000533,46.09,210,13230,1
309972273178,0,0,0,0
7790520014184,37.99,558,16908,1
7798159713294,20,0,0,1
7798081392130,139,17,6,1
7794080000045,0,0,0,1
7798159240592,111,12,0,1
7790127000061,55,18,12,1
7622300865535,14.6,105,6720,1
8410223602523,172,0,0,1
7790828002036,27.9,8,24,1
7796373112800,18,27,30,1
7791520097610,58,16,12,1
7791519700682,90,17,72,1
7792389000698,0,0,0,1
7798073133772,45.12,7,228,1
7798152221048,25.8,27,40,1
7790742120502,23.91,27,0,1
7791293030210,52,15,132,1
7794000595316,0,0,0,1
7790742145901,35.89,57,0,1
7790613071131,14.7,0,516,1
7798142350437,47,23,312,1
7798159719111,30,26,10080,1
7792319003591,122,6,0,1
7613035076037,105,10,768,1
7790847060574,8.5,0,0,1
7792319675552,288,8,0,1
7790130000263,14.4,9,0,1
7790990503652,41.6,5,180,1
7790250097853,20.8,31,30,1
7790244000401,63,16,0,1
7792170052264,24.99,13,2076,1
7798081391966,240,6,12,1
7790470003207,357.08,10,0,1
7805010002258,106,7,1188,1
7792222042502,31,0,0,1
7791540049354,215,0,0,1
7798152229792,51,13,312,1
7790387013306,25.7,9,660,1
7791014001314,75,26,240,1
7798053335073,0,0,0,1
7798159715632,2.9,204,18792,1
7798161720785,94,0,0,1
7793680000424,85,22,60,1
8711406022207,89,24,0,1
7791290000728,24.2,12,552,1
7798090850096,0,0,0,1
7798096051251,53,42,500,1
7790895010095,45,-9,0,1
7790742111074,34.9,9,0,1
7798099592546,178,9,4110,1
7798141714711,56,33,432,1
7798112440588,152,0,0,1
7791234002955,0,0,0,1
7790080065107,18.15,6,0,1
7791293026510,46.8,20,36,1
7793940102882,25.49,128,0,1
7790130000713,16.1,49,1656,1
7794640171987,110,12,732,1
7792319065292,166,6,6,1
7798159716684,74,20,3528,1
7790670050643,218,14,0,1
309975309706,0,0,0,0
3607348809868,0,0,0,0
7792070004660,101,4,0,1
7793913001662,15.5,3,1280,1
7798011080052,35,10,180,1
7791620000978,27,3,0,1
7790704070227,39.9,80,1146,1
7798033332399,16.65,51,5064,1
7501056330323,42.7,15,24,1
7798159715755,25,-1,19020,1
7798128410070,44,16,40,1
7795323002123,13.6,0,690,1
7702027436802,26,17,1116,1
7790040929906,17.49,144,14560,1
7798159717858,18.8,14,2440,1
7790975022345,490,8,6,1
7794000000568,13.29,37,1812,1
7798113151629,23,26,20,1
7792652000028,0,0,0,1
7791728231878,82,0,0,1
7591083011098,41.9,26,2232,1
7798062543575,32.25,9,18,1
3600530254804,0,0,0,0
7798183044302,87,14,0,1
7794533000073,0,0,0,1
7798152228566,116.79,16,48,1
7792798008216,138,12,0,1
7791905003335,159.9,3,2292,1
7798104307301,84,11,50,1
7790130001581,0,0,116,1
2308412000006,60,0,0,1
7792640007213,114,14,24,1
7798108349192,18.9,33,6048,1
7793680000547,85,25,12,1
7798082740312,22,28,3420,1
7790520004321,45.3,48,5592,1
7792640003314,129,14,132,1
70501013007,94,12,30,1
7790463000039,70,15,636,1
7792389021419,0,0,0,1
7500435112451,108,0,0,1
4015400637608,102,13,828,1
7798053651449,109,8,12,1
7790080064322,33.77,4,0,1
7798127480197,89,24,0,1
7500435004633,66,18,3735,1
7790580103590,46,5,0,1
7798045218780,76,0,0,0
7791728003550,161,0,0,1
7798141719204,58.5,19,132,1
7790895064128,45,37,504,1
7798154950021,0,0,24,1
4002631024284,94,12,0,1
7790315001047,40,0,0,1
7791290010222,19.99,50,17610,1
7793482000745,100,0,0,1
7790189042597,108,23,0,1
7794000598409,19.6,27,1750,1
7791337642324,41.49,261,0,1
7798074862688,220,17,288,1
7791337623224,36.99,63,0,1
7798161720006,51,0,0,1
7791885004407,35,0,96,1
7790064001954,24.2,43,0,1
